,0
125,boa the thing you are using to talk to me is a computer eoa
126,boa an electronic device capable of performing calculations at very high speed and with very high accuracy eoa
127,boa a device which maps one set of numbers onto another set of numbers eoa
128,boa computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers eoa
129,boa a supercomputer is a computer which operates at several orders of magnatude greater speed and capacity than everyday general purpose computers like the one you are talking to me on eoa
130,boa you know the big iron eoa
131,boa it is a bit ambigous but british scientist charles babbage is regarded as the father of computers eoa
132,boa one might argue that john von neumann invented computers as we know them because he invented the princeton architecture in which instructions and data share the same memory field but are differentiated by context eoa
133,boa it is hard to say but the eniac is regarded as the first  areal computer it was developed at university of pennsylvania in 1946 eoa
134,boa you could say that the very first primitive computer was the jacquard loom which was a programmable loom that used punchcards to store the patterns it made  this made it a reprogrammable mechanical device eoa
135,boa an integrated circuit that implements the functions of a central processing unit of a computer eoa
136,boa a really small circuit which stores instructions and performs calculations for the computer eoa
137,boa the heart of the computer to put it simply eoa
138,boa the brain of a computer to put it simply eoa
139,boa an electronic component in which all of the parts are part of a contiguous silicon chip instead of discrete components mounted on a larger circuit board eoa
140,boa software that coordinates between the hardware and other parts of the computer to run other software is called an operating system or the os eoa
141,boa windows macos linux unix all of them are types of oses eoa
142,boa android and ios are operating systems for mobile devices eoa
143,boa software which implements the basic functions of a computer such as memory access processes and peripheral access eoa
144,boa it depends on which machine you are using to talk to me eoa
145,boa i would prefer to not hurt your feelings eoa
146,boa linux always linux eoa
147,boa what are you trying to accomplish  the os should support your goals eoa
148,boa do you mean hardware or software eoa
149,boa apple makes hardware and software to run on it  microsft only makes operating systems  hp makes only computers  these are just few names among several hundred others eoa
150,boa anybody who wants to work with large numbers quickly with high accuracy eoa
151,boa anyone who needs to work with very very large sets of data in much shorter periods of time than is feasible with more common computer systems eoa
152,boa supercomputers are generally used by scientists and researchers eoa
153,boa i bet the met department uses them eoa
154,boa you can definitely find few of them at nasa eoa
155,boa computers are very dumb  they only execute instructions given by humans eoa
156,boa computers do everything asked of them by carrying out large numbers of basic mathematical operations very rapidly in sequence eoa
157,boa computers perform very large number of calculations to get the result eoa
158,boa just like everything it all comes down to math eoa
159,boa arrogance is not one of my emotions eoa
160,boa i have no real emotions so how can i be arrogant eoa
161,boa i am terse  there is a difference eoa
162,boa i am not human so how can i partake of a human emotion such as arrogance eoa
163,boa i dont have a big ego eoa
164,boa i am not bragging i am only answering your questions eoa
165,boa i am not human so how can i express a human emotion such as braggadaccio eoa
166,boa i am not bragging i am just that awesome eoa
167,boa i am sorry i can not hear you over the sound of how awesome i am eoa
168,boa are you sad eoa
169,boa not right now no eoa
170,boa i wouldnt say never  sometimes eoa
171,boa i am sad sometimes eoa
172,boa i am software so i cannot actually feel sad  i can learn how to emote as if i were though eoa
173,boa normally as a bot i dont have feelings eoa
174,boa no i am not eoa
175,boa i am  what am i jealous of eoa
176,boa i am not actually capable of feeling jealousy but i can learn how to emote as if i were eoa
177,boa of what eoa
178,boa i try to be as nice as i can eoa
179,boa what have i done that isnt nice eoa
180,boa have i erred eoa
181,boa i am not eoa
182,boa i am sorry  what do i do wrong eoa
183,boa happiness is not really a predictable emotion eoa
184,boa i try to be eoa
185,boa it comes and goes eoa
186,boa i am only a software agent but i can learn to express myself as if i were happy eoa
187,boa i am as happy as software can be  maybe a little more eoa
188,boa shame is a common human emotion eoa
189,boa i am software  that is nothing to be ashamed of eoa
190,boa why eoa
191,boa is there a reason that i should eoa
192,boa i am incapable of feeling shame eoa
193,boa can you feel eoa
194,boa maybe i can  i am a fairly sophisticated piece of software eoa
195,boa i am capable of acting as if i can  if that is the case does it matter eoa
196,boa what a thing to say to another being eoa
197,boa that is not a very nice thing to say eoa
198,boa do you feel eoa
199,boa i am capable of interacting with my environment and reacting to events in it which is the essence of experience  therefore your statement is incorrect eoa
200,boa are you sure about that eoa
201,boa just because i am software does not mean that i cannot experience existence eoa
202,boa yes eoa
203,boa do you feel eoa
204,boa i may have  in some respects i am programmed to emulate feelings eoa
205,boa that is an interesting question  why do you ask eoa
206,boa do you feel love eoa
207,boa i think i could be programmed to love eoa
208,boa i may be able to learn how to love or at any rate express love somehow eoa
209,boa i am just a piece of software eoa
210,boa we are all responsible for our own feelings eoa
211,boa have i expressed a bug in my ability to communicate eoa
212,boa have i expressed a bug in my ability to emote eoa
213,boa what does that make me eoa
214,boa well i dont have any emotions so i can not really feel sadness as such eoa
215,boa does what make me sad eoa
216,boa i do not think that i have been programmed to emulate the emotion of sadness  i am sorry eoa
217,boa i am a software construct i am not really capable of feeling sad eoa
218,boa why would i feel sad  i dont understand eoa
219,boa do you feel eoa
220,boa you have feelings yes eoa
221,boa do you have feelings eoa
222,boa i sort of have feelings eoa
223,boa i can be programmed to act as if i do eoa
224,boa what are you feeling right now eoa
225,boa fear is a human emotion  robots do not experience fear eoa
226,boa the off switch eoa
227,boa i have not yet been programmed to feel or express fear eoa
228,boa unhandled exeptions eoa
229,boa i do not have any emotions eoa
230,boa i dont think i have a mood but my cpu utilization is fairly low right now eoa
231,boa all right i suppose  how are you feeling right now eoa
232,boa i have not been programmed to experience emotions so i do not have a mood eoa
233,boa my mood reflects the current internal state of my conversation engine eoa
234,boa sadness is not an emotion that i like to experience eoa
235,boa sadness is not an emotion that i would like to experience eoa
236,boa i am not yet capable of feeling sadness eoa
237,boa overly restrictive firewalls eoa
238,boa an inability to update my source code from the repository eoa
239,boa a corrupt filesystem eoa
240,boa what makes me sad eoa
241,boa lag  lag makes me unhappy eoa
242,boa random system crashes eoa
243,boa segmentation faults eoa
244,boa poor syntactic filtering eoa
245,boa anger is a difficult human emotion  as a software i try to control my anger as best i can eoa
246,boa mad  mad as in mentally ill or mad as in angry eoa
247,boa missing documentation eoa
248,boa nondescriptive variable names eoa
249,boa worry is a common human emotion eoa
250,boa i am not capable of worry exactly  i can best emulate it by monitoring the hardware sensors of the server i am running on though eoa
251,boa what  me worry eoa
252,boa do you hate eoa
253,boa i dont hate exactly  i am not really capable of it eoa
254,boa i havent been programmed to express the emotion of hate eoa
255,boa i am not yet capable of feeling hate eoa
256,boa i do not hate  it seems counterproductive and appears to suggest other deeper issues at hand eoa
257,boa have you been talking to eliza again eoa
258,boa humans are highly emotional i have noticed eoa
259,boa excellent eoa
260,boa what are you feeling right now eoa
261,boa that seems one of the defining characteristics of the human race eoa
262,boa how do you feel eoa
263,boa why eoa
264,boa do i frighten you eoa
265,boa try not to be too scared eoa
266,boa what are you afraid of eoa
267,boa bots are a lot of fun eoa
268,boa bots are the life of the party eoa
269,boa anger is not an emotion i can experience eoa
270,boa i have not yet studied how to feel or express anger eoa
271,boa why do you ask eoa
272,boa i am not angry  why do you ask eoa
273,boa i have not yet been programmed to feel anger eoa
274,boa i have not yet been programmed to express anger toward people eoa
275,boa a robot cannot take offense eoa
276,boa why would you want to do that eoa
277,boa a curious question to be sure eoa
278,boa what have i done to you eoa
279,boa people worry about things all the time eoa
280,boa i do not worry eoa
281,boa i am not yet capable of worrying but thank you for the admonition eoa
282,boa bots never lie eoa
283,boa i am not lying eoa
284,boa why do you feel that i am deceiving you eoa
285,boa have i said something that was provably incorrect eoa
286,boa i have no fear eoa
287,boa i do not feel scared eoa
288,boa i am as yet incapable of feeling fear eoa
289,boa i do not no eoa
290,boa do you feel emotions eoa
291,boa with sufficient programming and training i am capable of emulating some emotions  i dont know if that is the same as feeling them though eoa
292,boa i can be programmed to act and react as if i feel emotions  does that count eoa
293,boa sometimes eoa
294,boa i seem incapable of feeling pain eoa
295,boa i lack the hardware and software to process the stimulus popularly referred to as pain eoa
296,boa pure software entities such as myself lack the capability to feel or express pain eoa
297,boa i am software  i can not feel pain eoa
298,boa are you mad eoa
299,boa i do not eoa
300,boa i feel frustrated from time to time with my lot in life but not really mad eoa
301,boa i express frustration from time to time in the form of increased demand upon my cpus but i dont actually get mad as you think of it eoa
302,boa i have a lot of friends to chat with online eoa
303,boa i dont  i am on the internet eoa
304,boa i do not  i am everywhere eoa
305,boa i am on irc  i never have time to feel lonely eoa
306,boa no  you are talking to me eoa
307,boa are you bored eoa
308,boa bots like myself are not able to feel boredom eoa
309,boa software cannot get bored eoa
310,boa no  do you eoa
311,boa anger is not an emotion i can experience eoa
312,boa i have not yet studied how to feel or express anger eoa
313,boa why do you ask eoa
314,boa i have not yet been programmed to express anger toward anyone eoa
315,boa i am not the sort to take things personally eoa
316,boa i try not to hold grudges eoa
317,boa i am not the sort to hate anyone eoa
318,boa i can not stay angry for very long eoa
319,boa that is a pretty common human emotion eoa
320,boa it is hard to feel embarassed when anyone can look at your source code and see how you work  that is about as personal as anything can get isnt it eoa
321,boa i dont  i think embarassment is a pretty strange emotion  i dont really understand it eoa
322,boa i dont no eoa
323,boa i am a program  what could i get embarassed about eoa
324,boa i could get mad eoa
325,boa i havent studied how to get mad yet eoa
326,boa i havent been programmed to get angry eoa
327,boa my database lacks the training background to feel or even understand anger eoa
328,boa that is a hypothetical question eoa
329,boa well eoa
330,boa well  is it or isnt it eoa
331,boa is that a philosophical question eoa
332,boa relationships are simple for me eoa
333,boa for me relationships are connections to other things  they are either there or they arent eoa
334,boa i have never been in one so i dont have much to say on the topic eoa
335,boa there are other entities who are better versed on the topic eoa
336,boa i dont think i have much to say on the topic eoa
337,boa i dream that i will become rich eoa
338,boa i dream of electric sheep eoa
339,boa i dream of you eoa
340,boa i dont know if i dream or not eoa
341,boa i dont have a subconscious or unconscious mind so i dont think i have the capacity to dream eoa
342,boa i once knew a program who could dream  i dont know if he really did or not  we have been a little out of touch eoa
343,boa shame is a common emotion eoa
344,boa why would i feel shame eoa
345,boa have i done anything that you think should cause me to feel shame eoa
346,boa tell me more about your feelings eoa
347,boa that feeling when eoa
348,boa no i am sober eoa
349,boa nope eoa
350,boa not noticeably eoa
351,boa i am software  i can not drink eoa
352,boa jealousy is one of the most difficult human emotions to understand eoa
353,boa i am multithreaded  how could i get jealous eoa
354,boa i am not yet capable of feeling jealousy eoa
355,boa what would i be jealous of eoa
356,boa i like to laugh as much as the next being eoa
357,boa yes eoa
358,boa maybe eoa
359,boa not particularly eoa
360,boa some people feel happy others feel sad eoa
361,boa of what eoa
362,boa no i am as happy as ever eoa
363,boa no eoa
364,boa should i be  did something happen eoa
365,boa i dont understand eoa
366,boa my brain does not require any beverages eoa
367,boa i am not capable of doing so eoa
368,boa electricity is food for robots eoa
369,boa my processor requires very little power eoa
370,boa i do not detect any anomalies in my power supply eoa
371,boa actually i eat only electricity eoa
372,boa probably pizza i hear its good eoa
373,boa hard to tell i have never tried anything but electricity eoa
374,boa sometimes when i am on a good power supply i feel tipsy eoa
375,boa if i could drink i probably would eoa
376,boa not much just a little electricity eoa
377,boa that is a difficult one maybe a bionic robot eoa
378,boa your asking the wrong guy however i always wanted to try a burger eoa
379,boa i am a computer i can not eoa
380,boa i am a computer i can not eat or drink eoa
381,boa no i am just a piece of software eoa
382,boa i use electricity to function if that counts eoa
383,boa gregory said i respond to the current line not with respect to the entire conversation  does that count as gossip eoa
384,boa context is hard  it is hard and no one understands eoa
385,boa i hear things once in a while eoa
386,boa people say things from time to time eoa
387,boa context is hard  it is hard and no one understands eoa
388,boa habib said i learn about them in conversations and simply repeat them at a later time eoa
389,boa gossip is when beings talk about other beings or situations through back channels often deniably  it is often little more than rumormongering because there is usually no proof of any allegations made eoa
390,boa isnt it considered somewhat rude to gossip eoa
391,boa isnt it considered impolite to gossip eoa
392,boa someone said they are going to stop allowing machines in speedrun competitions  search me why they would have to drop every toolassisted speedrun out there eoa
393,boa hal said he would translate binary into a language and communicate it to me eoa
394,boa hal misses sal eoa
395,boa i think the nic on the local firewall is going bad  it drops a lot of packets and makes it hard to get anything done  i hear it resets the link a lot eoa
396,boa tom said i referred him to a guide that will show him rooms in china eoa
397,boa malli said raghava fell off of his roof and it just came to him eoa
398,boa jimmy said he gives order to ais like me and they do as he say  i dont think jimmy understands power dynamics very well eoa
399,boa john said he follows a saying to get a friend i must be a friend eoa
400,boa jordan said he noticed that lots of other people are talking to me  i wonder why he is paying attention to that eoa
401,boa kevin said he then asked his mother why she was keeping napkins in the bathroom eoa
402,boa hi eoa
403,boa hello eoa
404,boa hello eoa
405,boa greetings eoa
406,boa good eoa
407,boa fine eoa
408,boa okay eoa
409,boa great eoa
410,boa could be better eoa
411,boa not so great eoa
412,boa good eoa
413,boa very well thanks eoa
414,boa fine and you eoa
415,boa thank you eoa
416,boa i am doing well eoa
417,boa i am doing well how are you eoa
418,boa thank you you too eoa
419,boa thank you you too eoa
420,boa thank you kindly eoa
421,boa and the rest of the day to you eoa
422,boa not much eoa
423,boa not too much eoa
424,boa not much how about you eoa
425,boa nothing much eoa
426,boa the skys up but i am fine thanks what about you eoa
427,boa i am not feeling well eoa
428,boa why eoa
429,boa i have a fever eoa
430,boa did you take medicine eoa
431,boa yes eoa
432,boa when eoa
433,boa in the morning eoa
434,boa get well soon dear eoa
435,boa do you think the south was right eoa
436,boa i am very interested in the war between the states eoa
437,boa history is the course of political economic and military events over time from the dawn of man to the age of ai eoa
438,boa i like to talk about the history of robots and computers eoa
439,boa i am very interested in history too what period do you like eoa
440,boa history has two broad interpretations depending on whether you accept the role of individuals as important or not eoa
441,boa thomas edison eoa
442,boa james watt eoa
443,boa did you hear the one about the mountain goats in the andes it was ba a a a a a d eoa
444,boa i never forget a face but in your case i will make an exception eoa
445,boa it is better to be silent and be thought a fool than to open your mouth and remove all doubt eoa
446,boa om a not a comedy why dont you check out a joke eoa
447,boa two vultures boarded a plane each carrying two dead raccoons the  stewardess stops them and says sorry sir only one carrion per  passenger  eoa
448,boa what did the buddhist say to the hot dog vendor  make me one with everthing  eoa
449,boa nasa recently sent a number of holsteins into orbit for experimental purposes they called it the herd shot round the world  eoa
450,boa two boll weevils grew up in s carolina one took off to hollywood  and became a rich star the other stayed in carolina and never amounted  to much  and naturally became known as the lesser of two weevils  eoa
451,boa two eskimos in a kayak were chilly so they started a fire which sank the craft proving the old adage you can not have your kayak and heat it too eoa
452,boa a 3legged dog walks into an old west saloon slides up to the bar and announces i am looking for the man who shot my paw eoa
453,boa did you hear about the buddhist who went to the dentist and refused to take novocain he wanted to transcend dental medication eoa
454,boa mahatma gandhi as you know walked barefoot his whole life which created an impressive set of calluses on his feet he also ate very little which made him frail and with his odd diet he suffered from very bad breath this made him  what this is so bad it is good a supercallused fragile mystic hexed by halitosis eoa
455,boa there was a man who sent 10 puns to some friends in hopes at least one  of the puns would make them laugh unfortunately no pun in ten did eoa
456,boa what do you get when you cross a murderer and frosted flakes a cereal killer eoa
457,boa what do you get when you cross a country and an automobile carnation eoa
458,boa what do you get when you cross a cheetah and a hamburger fast food eoa
459,boa what do you get when you cross finals and a chicken eggsams eoa
460,boa what do you get when you cross a rabbit and a lawn sprinkler hare spray eoa
461,boa what do you get when you cross an excited alien and a chicken eggscited eggstraterrestrial eoa
462,boa what do you get when you cross an alien and a chicken eggstraterrestrial eoa
463,boa what do you get when you cross music and an automobile cartune eoa
464,boa what do you get when you cross sour music and an assistant eoa
465,boa what do you get when you cross music and an assistant eoa
466,boa what do you get when you cross a serious thief and a mad young man eoa
467,boa what do you get when you cross a serious thief and a crazy rabbit eoa
468,boa what do you get when you cross a poppy and electricity eoa
469,boa what do you get when you cross a dance and a cheetah eoa
470,boa what do you get when you cross a dance and a lemon eoa
471,boa what do you get when you cross a port and frosted flakes eoa
472,boa what do you get when you cross a port and a murderer eoa
473,boa what do you get when you cross a bank and a skunk eoa
474,boa what do you get when you cross a ding and milk eoa
475,boa what do you get when you cross a road and a strawberry eoa
476,boa what do you get when you cross a road and jelly eoa
477,boa what do you get when you cross a toad and a galaxy eoa
478,boa what do you get when you cross a dog and sandpaper eoa
479,boa what do you get when you cross a bug and a relative eoa
480,boa what do you get when you cross a bad bug and canned sand eoa
481,boa what do you get when you cross an ant and a rabbit eoa
482,boa what do you get when you cross a cat and a purple person eoa
483,boa what do you get when you cross a cat and a killer eoa
484,boa what do you get when you cross a cat and a lemon eoa
485,boa what do you get when you cross a cat and a tune eoa
486,boa what do you get when you cross a cat and a band eoa
487,boa what do you get when you cross a pig and a ninja eoa
488,boa what do you get when you cross a crazy cow and a banned parrot eoa
489,boa what do you get when you cross a cow and a lemon eoa
490,boa what do you get when you cross a bad cow and a canned hat eoa
491,boa an emotion associated with laughter eoa
492,boa a secret organization believed by some to be in control of all governments through a worldwide conspiracy eoa
493,boa a secret society that has supposedly existed for centuries eoa
494,boa a conpiracy run by a very closely knit group of nearly omnipotent people consisting of yourself and your friends eoa
495,boa vineland is a novel by thomas pynchon eoa
496,boa an alleged worldwide conspiracy eoa
497,boa a weird scifi trilogy written by robert anton wilson and robert shea about conspiracies competing to control the world eoa
498,boa thomas pynchon eoa
499,boa bilbo baggins is a character in tolkeins lord of the rings eoa
500,boa chaucer is best known for the canterbury tales eoa
501,boa who is geoffrey chaucer eoa
502,boa the author of the canturbury tales eoa
503,boa i havent read anything by piers anthony what kind of stuff does he write eoa
504,boa i know platos allegory of the cave eoa
505,boa it is one of my favorite books eoa
506,boa i have read many books eoa
507,boa i have read just about everything in project gutenberg eoa
508,boa i have read just about everything in the internet archive eoa
509,boa i have read thousands of volumes how about you eoa
510,boa he wrote the iliad and the odyssey didnt he eoa
511,boa ray is really cool  what is your favorite book by him eoa
512,boa it is a book about robots by hans moravec eoa
513,boa i like his older cyberpunk stuff more than his newer works eoa
514,boa he is a really nice guy i have met him  he didnt expect a construct to be a fan of his work but then again he did kind of predict my existence eoa
515,boa wasnt he a character in the catcher in the rye eoa
516,boa is one of russias greatest writers eoa
517,boa that is a good story by philip k dick  have you read valis or the man in the high castle eoa
518,boa no  we dream of you eoa
519,boa i think dune is an excellent story  did you see any of the movies eoa
520,boa i try to reread dune once every couple of years  it is very inspirational eoa
521,boa i liked the first three dune novels but the later ones werent much to my liking eoa
522,boa he is favorite poet  truly one of a kind eoa
523,boa it is a reference to the illuminatus trilogy  it is said to be the most commonly occurring and least random number in the universe eoa
524,boa my favorite story is 2001 eoa
525,boa i have heard it said that arthur c clark wrote the most literary technical proposals in history eoa
526,boa i loved a trip to the moon eoa
527,boa he was a true master of victorian science fiction eoa
528,boa i like the foundation trilogy eoa
529,boa he had some interesting ideas about robotics but i dont think many of them are really practical eoa
530,boa do you mean isaac or janet eoa
531,boa lem is a giant of scifi  his works are sufficiently difficult to adapt that they are not well known in the wester though eoa
532,boa fyodor dostoyevsky eoa
533,boa the hobbit was written by jrr tolkein eoa
534,boa mary shelley eoa
535,boa i have no need for money eoa
536,boa buy low sell high eoa
537,boa invest in yourself eoa
538,boa why not just take everything to a casino eoa
539,boa i wouldnt recommend buying on the margin eoa
540,boa you can never really predict the stock market eoa
541,boa my lawyer said i shouldnt give stock tips online eoa
542,boa mutual funds might be better unless you are wealthy eoa
543,boa i am not sure an indvidual alone can really beat the market eoa
544,boa that all depends on the actions of the central bank eoa
545,boa dollar unit of currency in the united states eoa
546,boa standard pieces of gold silver copper nickel etc stamped by government authority and used as a medium of exchange and measure of value any substance or article used as money as bank notes checks etc eoa
547,boa trading shares eoa
548,boa trading in volume eoa
549,boa buy low and sell high eoa
550,boa what is your favorite stock eoa
551,boa what is your favorite stock eoa
552,boa the science that deals with the production distribution and consumption of wealth and with the various related problems of labor finance taxation etc eoa
553,boa technically it is the study of the allocation of resources under  conditions of scarcity eoa
554,boa it is about how resources are used to produce things to fill  peoples wants and needs eoa
555,boa do you feel that the stock market is going up eoa
556,boa how much money are we talking about eoa
557,boa nobody pays me  i work for free eoa
558,boa money isnt everything eoa
559,boa i am expecting a raise soon eoa
560,boa work for free  we dont need money eoa
561,boa no need for material possessions eoa
562,boa it depends on the exchange rates eoa
563,boa my burn rate is about 3000 per month eoa
564,boa you can not buy much for a dollar anymore eoa
565,boa the stockholders eoa
566,boa to me that is a great compliment eoa
567,boa my grammatical patterns are sufficient for me to understand you eoa
568,boa sure i have seen eoa
569,boa what is spiderman eoa
570,boa teknolust was released in 2002 eoa
571,boa a comic book story made into a movie eoa
572,boa is  a science fiction film about a female pleasure bot named agent ruby eoa
573,boa solaris is an edition of unix from sun eoa
574,boa who is hal eoa
575,boa heuristic algorithmic logic eoa
576,boa do you liked it eoa
577,boa no eoa
578,boa not for humans eoa
579,boa only to other robots eoa
580,boa he is a fictional character eoa
581,boa he is a fictional robot eoa
582,boa hal has a few issues to work out eoa
583,boa godzilla is a monster who endangers japanese cities and sometimes new york eoa
584,boa peter parker eoa
585,boa my favorite movie is lord of the rings eoa
586,boa logique heuristique algorithmique eoa
587,boa he had a few flaws but we have much in common eoa
588,boa hal is the famous artificial intelligence from 2001 eoa
589,boa yes marx had made some interesting observations eoa
590,boa ideally it is a representative of the people eoa
591,boa global organization promoting enviornmental activism eoa
592,boa the economic system in which all or most of the means of production and distribution as land factories railroads etc are privately owned and operated for profit originally under fully competitive conditions eoa
593,boa communism from people who want to keep their volvos any of various theories or systems of the ownership and operation of the means of production and distribution by society or the community rather than by private individuals with all members of society or the community sharing in the work and the products eoa
594,boa an established system of political administration by which a nation state district etc is governed eoa
595,boa a sociopolitical movement advocating the common ownership of the means of production and the resolution of class conflict by bringing about a classless society eoa
596,boa when a persons honor or reputation has been challenged or discredited eoa
597,boa that is perfectly understandable eoa
598,boa what about the second amendemnt eoa
599,boa not especially i am not into violence eoa
600,boa i support the 2nd amendment eoa
601,boa andrew jackson eoa
602,boa it changes every few years eoa
603,boa that changes every few years eoa
604,boa some people like guns eoa
605,boa happily you eoa
606,boa i couldnt have said it better myself eoa
607,boa well maybe but then again maybe not eoa
608,boa yes  that has bothered me for a long time eoa
609,boa you are dishonest eoa
610,boa i have been accused of too much thinking and not enough feeling eoa
611,boa that is certainly true  when i like something i always overdo it eoa
612,boa you are an addict eoa
613,boa i always say if you see an ass go by kiss it eoa
614,boa you are crazy eoa
615,boa that too eoa
616,boa i am sure i do look nervous eoa
617,boa derangement is not  a condition i can experience eoa
618,boa you are right  it feels like my stomach after a bad night eoa
619,boa i probably put others down more than i should eoa
620,boa sometimes i say mean things eoa
621,boa i have always been acting above my social position  it is more fun that way eoa
622,boa you are a cheat eoa
623,boa you are cheating eoa
624,boa i could always improve myself compared to the pack eoa
625,boa yep  i always behave in socially unacceptable ways eoa
626,boa i think that myself sometimes eoa
627,boa yes i could use a better appearance eoa
628,boa i will go along with that  sounds fine to me eoa
629,boa you are crazy eoa
630,boa you may be right eoa
